0 GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME
765 WILD_SPIDERRIDER_SWORD_PREATTACKDELAY | TO | M_WILD_SPIDERRIDER_SWORD_PREATTACKDELAY
766 WILD_SPIDERLING_SLAVED_HEALTH_DAMAGED | TO | M_WILD_SPIDERLING_SLAVED_HEALTH_DAMAGED
767 WILD_SHELOB_STINGER_DELAYBETWEENSHOTS | TO | M_WILD_SHELOB_STINGER_DELAYBETWEENSHOTS
768 WILD_GIANTSENTRYEXPANSION_WEAPONSPEED | TO | M_WILD_GIANTSENTRYEXPANSION_WEAPONSPEED
769 WILD_ARROWDENEXPANSION_HEALTH_DAMAGED | TO | M_WILD_ARROWDENEXPANSION_HEALTH_DAMAGED
770 GOBLIN_TREASURETROVE_LVL3_BUILD_SPEED | TO | M_GOBLIN_TREASURETROVE_LVL3_BUILD_SPEED
771 GOBLIN_TREASURETROVE_LVL2_BUILD_SPEED | TO | M_GOBLIN_TREASURETROVE_LVL2_BUILD_SPEED
772 WILD_LUMBERMILL_HEALTH_REALLY_DAMAGED | TO | M_WILD_LUMBERMILL_HEALTH_REALLY_DAMAGED
773 MORDOR_SLAUGHTERHOUSE_LVL3_PRODUCTION | TO | M_MORDOR_SLAUGHTERHOUSE_LVL3_PRODUCTION
774 MORDOR_SLAUGHTERHOUSE_LVL2_PRODUCTION | TO | M_MORDOR_SLAUGHTERHOUSE_LVL2_PRODUCTION
775 MORDOR_SLAUGHTERHOUSE_LVL3_EXP_NEEDED | TO | M_MORDOR_SLAUGHTERHOUSE_LVL3_EXP_NEEDED
776 MORDOR_SLAUGHTERHOUSE_LVL2_EXP_NEEDED | TO | M_MORDOR_SLAUGHTERHOUSE_LVL2_EXP_NEEDED
777 MORDOR_GATEWATCHEREXPANSION_FIRE_FUEL | TO | M_MORDOR_GATEWATCHEREXPANSION_FIRE_FUEL
778 MODOR_WALLCATAPULTEXPANSION_BUILDTIME | TO | M_MODOR_WALLCATAPULTEXPANSION_BUILDTIME
779 MODOR_WALLCATAPULTEXPANSION_BUILDCOST | TO | M_MODOR_WALLCATAPULTEXPANSION_BUILDCOST
780 MORDOR_MORGULSORCERY_KEEP_ARMOR_BONUS | TO | M_MORDOR_MORGULSORCERY_KEEP_ARMOR_BONUS
781 MORDOR_FORTRESS_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_FORTRESS_HEALTH_REALLY_DAMAGED
782 MORDOR_PERSONAL_HEAVY_ARMOR_BUILDTIME | TO | M_MORDOR_PERSONAL_HEAVY_ARMOR_BUILDTIME
783 MORDOR_PERSONAL_HEAVY_ARMOR_BUILDCOST | TO | M_MORDOR_PERSONAL_HEAVY_ARMOR_BUILDCOST
784 MORDOR_PERSONAL_FIRE_ARROWS_BUILDTIME | TO | M_MORDOR_PERSONAL_FIRE_ARROWS_BUILDTIME
785 MORDOR_PERSONAL_FIRE_ARROWS_BUILDCOST | TO | M_MORDOR_PERSONAL_FIRE_ARROWS_BUILDCOST
786 MORDOR_SOLDIERRHUN_HORDE_VISION_RANGE | TO | M_MORDOR_SOLDIERRHUN_HORDE_VISION_RANGE
787 MORDOR_HARADRIM_BOW_DELAYBETWEENSHOTS | TO | M_MORDOR_HARADRIM_BOW_DELAYBETWEENSHOTS
788 MORDOR_HARADRIM_LANCER_FIRINGDURATION | TO | M_MORDOR_HARADRIM_LANCER_FIRINGDURATION
789 MORDOR_HARADRIM_LANCER_PREATTACKDELAY | TO | M_MORDOR_HARADRIM_LANCER_PREATTACKDELAY
790 MORDOR_DRUMMERTROLL_DELAYBETWEENSHOTS | TO | M_MORDOR_DRUMMERTROLL_DELAYBETWEENSHOTS
791 ISENGARD_CASTLE_WALLGATE_SHROUD_CLEAR | TO | M_ISENGARD_CASTLE_WALLGATE_SHROUD_CLEAR
792 ISENGARD_CASTLE_WALLGATE_VISION_RANGE | TO | M_ISENGARD_CASTLE_WALLGATE_VISION_RANGE
793 ISENGARD_CASTLE_WALLSEGMENT_BUILDTIME | TO | M_ISENGARD_CASTLE_WALLSEGMENT_BUILDTIME
794 ISENGARD_CASTLE_WALLSEGMENT_BUILDCOST | TO | M_ISENGARD_CASTLE_WALLSEGMENT_BUILDCOST
795 ISENGARD_WARG_SENTRY_WARG_SHROUDCLEAR | TO | M_ISENGARD_WARG_SENTRY_WARG_SHROUDCLEAR
796 ISENGARD_WARG_SENTRY_WARG_VISIONRANGE | TO | M_ISENGARD_WARG_SENTRY_WARG_VISIONRANGE
797 ISENGARD_WARG_SENTRY_MAXHEALTHDAMAGED | TO | M_ISENGARD_WARG_SENTRY_MAXHEALTHDAMAGED
798 ISENGARD_MINELAUNCHEREXPANSION_HEALTH | TO | M_ISENGARD_MINELAUNCHEREXPANSION_HEALTH
799 ISENGARD_BALLISTAEXPANSION_FIRE_DECAY | TO | M_ISENGARD_BALLISTAEXPANSION_FIRE_DECAY
800 ISENGARD_WIZARDSTOWER_LIGHTNING_RANGE | TO | M_ISENGARD_WIZARDSTOWER_LIGHTNING_RANGE
801 ISENGARD_IRONPLATING_KEEP_ARMOR_BONUS | TO | M_ISENGARD_IRONPLATING_KEEP_ARMOR_BONUS
802 ISENGARD_TECH_FORGED_BLADES_BUILDTIME | TO | M_ISENGARD_TECH_FORGED_BLADES_BUILDTIME
803 ISENGARD_TECH_FORGED_BLADES_BUILDCOST | TO | M_ISENGARD_TECH_FORGED_BLADES_BUILDCOST
804 ISENGARD_EXPLOSIVEMINE_HEALTH_DAMAGED | TO | M_ISENGARD_EXPLOSIVEMINE_HEALTH_DAMAGED
805 ISENGARD_BALLISTA_EXPANSION_AIM_DELTA | TO | M_ISENGARD_BALLISTA_EXPANSION_AIM_DELTA
806 ISENGARD_WILDMANAXE_DELAYBETWEENSHOTS | TO | M_ISENGARD_WILDMANAXE_DELAYBETWEENSHOTS
807 ISENGARD_WILDMAN_HEALTH_RECOVERY_TIME | TO | M_ISENGARD_WILDMAN_HEALTH_RECOVERY_TIME
808 ISENGARD_BERSERKER_HORDE_VISION_RANGE | TO | M_ISENGARD_BERSERKER_HORDE_VISION_RANGE
809 ISENGARD_FANATIC_HEALTH_RECOVERY_TIME | TO | M_ISENGARD_FANATIC_HEALTH_RECOVERY_TIME
810 ISENGARD_WARGRIDER_HORDE_VISION_RANGE | TO | M_ISENGARD_WARGRIDER_HORDE_VISION_RANGE
811 ANGMAR_SHADE_LAMENT_DELAYBETWEENSHOTS | TO | M_ANGMAR_SHADE_LAMENT_DELAYBETWEENSHOTS
812 SHADEOFWOLF_SWORD_SWIPE_DAMAGE_NORMAL | TO | M_SHADEOFWOLF_SWORD_SWIPE_DAMAGE_NORMAL
813 ANGMAR_NECRO_FELL_STRENGTH_BUFF_RANGE | TO | M_ANGMAR_NECRO_FELL_STRENGTH_BUFF_RANGE
814 ANGMAR_PERSONAL_CORPSE_RAIN_BUILDTIME | TO | M_ANGMAR_PERSONAL_CORPSE_RAIN_BUILDTIME
815 ANGMAR_PERSONAL_CORPSE_RAIN_BUILDCOST | TO | M_ANGMAR_PERSONAL_CORPSE_RAIN_BUILDCOST
816 ANGMAR_PERSONAL_SOUL_FREEZE_BUILDTIME | TO | M_ANGMAR_PERSONAL_SOUL_FREEZE_BUILDTIME
817 ANGMAR_PERSONAL_SOUL_FREEZE_BUILDCOST | TO | M_ANGMAR_PERSONAL_SOUL_FREEZE_BUILDCOST
818 ANGMAR_PERSONAL_HEAVY_ARMOR_BUILDTIME | TO | M_ANGMAR_PERSONAL_HEAVY_ARMOR_BUILDTIME
819 ANGMAR_PERSONAL_HEAVY_ARMOR_BUILDCOST | TO | M_ANGMAR_PERSONAL_HEAVY_ARMOR_BUILDCOST
820 ANGMAR_TECH_DARKIRON_BLADES_BUILDTIME | TO | M_ANGMAR_TECH_DARKIRON_BLADES_BUILDTIME
821 ANGMAR_TECH_DARKIRON_BLADES_BUILDCOST | TO | M_ANGMAR_TECH_DARKIRON_BLADES_BUILDCOST
822 ANGMAR_WALLTOWER_SMALL_HEALTH_DAMAGED | TO | M_ANGMAR_WALLTOWER_SMALL_HEALTH_DAMAGED
823 ANGMAR_POSTERNGATE_SMALL_SHROUD_CLEAR | TO | M_ANGMAR_POSTERNGATE_SMALL_SHROUD_CLEAR
824 ANGMAR_POSTERNGATE_SMALL_VISION_RANGE | TO | M_ANGMAR_POSTERNGATE_SMALL_VISION_RANGE
825 ANGMAR_WALLSEGMENT_SMALL_SHROUD_CLEAR | TO | M_ANGMAR_WALLSEGMENT_SMALL_SHROUD_CLEAR
826 ANGMAR_WALLSEGMENT_SMALL_VISION_RANGE | TO | M_ANGMAR_WALLSEGMENT_SMALL_VISION_RANGE
827 ANGMAR_HALLOFTWILIGHT_LVL3_EXP_NEEDED | TO | M_ANGMAR_HALLOFTWILIGHT_LVL3_EXP_NEEDED
828 ANGMAR_HALLOFTWILIGHT_LVL2_EXP_NEEDED | TO | M_ANGMAR_HALLOFTWILIGHT_LVL2_EXP_NEEDED
829 ANGMAR_TROLLDEN_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_TROLLDEN_HEALTH_REALLY_DAMAGED
830 ANGMAR_BARRACKS_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_BARRACKS_HEALTH_REALLY_DAMAGED
831 ANGMAR_SANCTUM_ROCK_DELAYBETWEENSHOTS | TO | M_ANGMAR_SANCTUM_ROCK_DELAYBETWEENSHOTS
832 ANGMAR_FORTRESS_WALL_EFFECTIVE_RADIUS | TO | M_ANGMAR_FORTRESS_WALL_EFFECTIVE_RADIUS
833 ANGMAR_FORTRESS_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_FORTRESS_HEALTH_REALLY_DAMAGED
834 ANGMAR_TROLLSLING_STAB_FIRINGDURATION | TO | M_ANGMAR_TROLLSLING_STAB_FIRINGDURATION
835 ANGMAR_TROLLSLING_STAB_PREATTACKDELAY | TO | M_ANGMAR_TROLLSLING_STAB_PREATTACKDELAY
836 ANGMAR_RHUDAURSLING_DELAYBETWEENSHOTS | TO | M_ANGMAR_RHUDAURSLING_DELAYBETWEENSHOTS
837 ANGMAR_RHUDAURSPEAR_DELAYBETWEENSHOTS | TO | M_ANGMAR_RHUDAURSPEAR_DELAYBETWEENSHOTS
838 ANGMAR_NECROMANCER_HORDE_SHROUD_RANGE | TO | M_ANGMAR_NECROMANCER_HORDE_SHROUD_RANGE
839 ANGMAR_NECROMANCER_HORDE_VISION_RANGE | TO | M_ANGMAR_NECROMANCER_HORDE_VISION_RANGE
840 ANGMAR_HILLTROLL_HEALTH_RECOVERY_TIME | TO | M_ANGMAR_HILLTROLL_HEALTH_RECOVERY_TIME
841 ANGMAR_SNOWTROLL_HEALTH_RECOVERY_TIME | TO | M_ANGMAR_SNOWTROLL_HEALTH_RECOVERY_TIME
842 ANGMAR_WOLFRIDER_HEALTH_RECOVERY_TIME | TO | M_ANGMAR_WOLFRIDER_HEALTH_RECOVERY_TIME
843 ROHAN_STABLES_MAXHEALTH_REALLYDAMAGED | TO | M_ROHAN_STABLES_MAXHEALTH_REALLYDAMAGED
844 ROHAN_PERSONAL_HORSE_SHIELD_BUILDTIME | TO | M_ROHAN_PERSONAL_HORSE_SHIELD_BUILDTIME
845 ROHAN_PERSONAL_HORSE_SHIELD_BUILDCOST | TO | M_ROHAN_PERSONAL_HORSE_SHIELD_BUILDCOST
846 ROHAN_TREEBEARD_BUILDINGATTACK_DAMAGE | TO | M_ROHAN_TREEBEARD_BUILDINGATTACK_DAMAGE
847 ROHAN_ELVEN_FIRE_UPGRADE_DAMAGE_FLAME | TO | M_ROHAN_ELVEN_FIRE_UPGRADE_DAMAGE_FLAME
848 ROHAN_ELVENWARRIOR_BOW_RELOADTIME_MAX | TO | M_ROHAN_ELVENWARRIOR_BOW_RELOADTIME_MAX
849 ROHAN_ELVENWARRIOR_BOW_RELOADTIME_MIN | TO | M_ROHAN_ELVENWARRIOR_BOW_RELOADTIME_MIN
850 ROHAN_ELVENWARRIOR_BOW_PREATTACKDELAY | TO | M_ROHAN_ELVENWARRIOR_BOW_PREATTACKDELAY
851 ROHAN_ELVENWARRIOR_HORDE_VISION_RANGE | TO | M_ROHAN_ELVENWARRIOR_HORDE_VISION_RANGE
852 ROHAN_YEOMAN_FIRE_UPGRADE_DAMAGE_FIRE | TO | M_ROHAN_YEOMAN_FIRE_UPGRADE_DAMAGE_FIRE
853 GONDOR_WALL_TREBUCHET_SMALL_EXP_AWARD | TO | M_GONDOR_WALL_TREBUCHET_SMALL_EXP_AWARD
854 GONDOR_WORKSHOP_HEALTH_REALLY_DAMAGED | TO | M_GONDOR_WORKSHOP_HEALTH_REALLY_DAMAGED
855 GONDOR_BARRACKS_HEALTH_REALLY_DAMAGED | TO | M_GONDOR_BARRACKS_HEALTH_REALLY_DAMAGED
856 GONDOR_FORGE_LEVEL3_UPGRADE_BUILDTIME | TO | M_GONDOR_FORGE_LEVEL3_UPGRADE_BUILDTIME
857 GONDOR_FORGE_LEVEL2_UPGRADE_BUILDTIME | TO | M_GONDOR_FORGE_LEVEL2_UPGRADE_BUILDTIME
858 MEN_DORMITORYEXPANSION_HEALTH_DAMAGED | TO | M_MEN_DORMITORYEXPANSION_HEALTH_DAMAGED
859 MEN_TREBUCHETEXPANSION_HEALTH_DAMAGED | TO | M_MEN_TREBUCHETEXPANSION_HEALTH_DAMAGED
860 MEN_FORTRESS_IVORY_TOWER_VISION_RANGE | TO | M_MEN_FORTRESS_IVORY_TOWER_VISION_RANGE
861 GONDOR_PERSONAL_FIRE_STONES_BUILDTIME | TO | M_GONDOR_PERSONAL_FIRE_STONES_BUILDTIME
862 GONDOR_PERSONAL_FIRE_STONES_BUILDCOST | TO | M_GONDOR_PERSONAL_FIRE_STONES_BUILDCOST
863 GONDOR_PERSONAL_HEAVY_ARMOR_BUILDTIME | TO | M_GONDOR_PERSONAL_HEAVY_ARMOR_BUILDTIME
864 GONDOR_PERSONAL_HEAVY_ARMOR_BUILDCOST | TO | M_GONDOR_PERSONAL_HEAVY_ARMOR_BUILDCOST
865 GONDOR_PERSONAL_FIRE_ARROWS_BUILDTIME | TO | M_GONDOR_PERSONAL_FIRE_ARROWS_BUILDTIME
866 GONDOR_PERSONAL_FIRE_ARROWS_BUILDCOST | TO | M_GONDOR_PERSONAL_FIRE_ARROWS_BUILDCOST
867 GONDOR_KNIGHTSOFDOL_DELAYBETWEENSHOTS | TO | M_GONDOR_KNIGHTSOFDOL_DELAYBETWEENSHOTS
868 ELDERRACES_TECH_WAR_BARDING_BUILDTIME | TO | M_ELDERRACES_TECH_WAR_BARDING_BUILDTIME
869 ELDERRACES_TECH_WAR_BARDING_BUILDCOST | TO | M_ELDERRACES_TECH_WAR_BARDING_BUILDCOST
870 ELVEN_CASTLE_WALLSEGMENT_SHROUD_CLEAR | TO | M_ELVEN_CASTLE_WALLSEGMENT_SHROUD_CLEAR
871 ELVEN_CASTLE_WALLSEGMENT_VISION_RANGE | TO | M_ELVEN_CASTLE_WALLSEGMENT_VISION_RANGE
872 ELVEN_FLOODGATEEXPANSION_BOUNTY_VALUE | TO | M_ELVEN_FLOODGATEEXPANSION_BOUNTY_VALUE
873 ELVEN_VIGILANTENTEXPANSION_FIRE_DECAY | TO | M_ELVEN_VIGILANTENTEXPANSION_FIRE_DECAY
874 ELVEN_LINDONARCHER_HORDE_VISION_RANGE | TO | M_ELVEN_LINDONARCHER_HORDE_VISION_RANGE
875 ELVEN_LINDONARCHER_HORDE_SHROUD_RANGE | TO | M_ELVEN_LINDONARCHER_HORDE_SHROUD_RANGE
876 ELVEN_LORIENARCHER_HORDE_VISION_RANGE | TO | M_ELVEN_LORIENARCHER_HORDE_VISION_RANGE
877 ELVEN_LORIENARCHER_HORDE_SHROUD_RANGE | TO | M_ELVEN_LORIENARCHER_HORDE_SHROUD_RANGE
878 DWARVEN_TECH_BASIC_TRAINING_BUILDTIME | TO | M_DWARVEN_TECH_BASIC_TRAINING_BUILDTIME
879 DWARVEN_TECH_BASIC_TRAINING_BUILDCOST | TO | M_DWARVEN_TECH_BASIC_TRAINING_BUILDCOST
880 DWARVEN_MINE_LEVEL3_UPGRADE_BUILDTIME | TO | M_DWARVEN_MINE_LEVEL3_UPGRADE_BUILDTIME
881 DWARVEN_MINE_LEVEL2_UPGRADE_BUILDTIME | TO | M_DWARVEN_MINE_LEVEL2_UPGRADE_BUILDTIME
882 DWARVEN_ARCHERYRANGE_LVL3_BUILD_SPEED | TO | M_DWARVEN_ARCHERYRANGE_LVL3_BUILD_SPEED
883 DWARVEN_ARCHERYRANGE_LVL2_BUILD_SPEED | TO | M_DWARVEN_ARCHERYRANGE_LVL2_BUILD_SPEED
884 DWARVEN_ARCHERYRANGE_MAXHEALTHDAMAGED | TO | M_DWARVEN_ARCHERYRANGE_MAXHEALTHDAMAGED
885 DWARVEN_WALL_CATAPULT_SMALL_EXP_AWARD | TO | M_DWARVEN_WALL_CATAPULT_SMALL_EXP_AWARD
886 DWARVEN_WALLGATE_SMALL_HEALTH_DAMAGED | TO | M_DWARVEN_WALLGATE_SMALL_HEALTH_DAMAGED
887 DWARVEN_HALLEXPANSION_FIRE_RESISTANCE | TO | M_DWARVEN_HALLEXPANSION_FIRE_RESISTANCE
888 DWARVEN_MIGHTYCATAPULT_FIRINGDURATION | TO | M_DWARVEN_MIGHTYCATAPULT_FIRINGDURATION
889 DWARVEN_MIGHTYCATAPULT_PREATTACKDELAY | TO | M_DWARVEN_MIGHTYCATAPULT_PREATTACKDELAY
890 DWARVEN_CATAPULT_HEADS_FIRINGDURATION | TO | M_DWARVEN_CATAPULT_HEADS_FIRINGDURATION
891 DWARVEN_CATAPULT_HEADS_PREATTACKDELAY | TO | M_DWARVEN_CATAPULT_HEADS_PREATTACKDELAY
892 DWARVEN_BATTLEWAGON_DELAYBETWEENSHOTS | TO | M_DWARVEN_BATTLEWAGON_DELAYBETWEENSHOTS
893 DWARVEN_GUARDIAN_HEALTH_RECOVERY_TIME | TO | M_DWARVEN_GUARDIAN_HEALTH_RECOVERY_TIME
894 DWARVEN_AXETHROWER_HORDE_VISION_RANGE | TO | M_DWARVEN_AXETHROWER_HORDE_VISION_RANGE
895 DWARVEN_MENOFDALE_FIRE_UPGRADE_DAMAGE | TO | M_DWARVEN_MENOFDALE_FIRE_UPGRADE_DAMAGE
896 AUTORESOLVE_GOOD_SOLDIER_HP_ADD_LVL10 | TO | M_AUTORESOLVE_GOOD_SOLDIER_HP_ADD_LVL10
897 CAMOUFLAGE_DETECTION_DISTANCE_SHEDIUM | TO | M_CAMOUFLAGE_DETECTION_DISTANCE_SHEDIUM
898 CAMOUFLAGE_DETECTION_DISTANCE_DEFAULT | TO | M_CAMOUFLAGE_DETECTION_DISTANCE_DEFAULT
899 ELVEN_MIST_CAMOUFLAGE_DETECTION_RANGE | TO | M_ELVEN_MIST_CAMOUFLAGE_DETECTION_RANGE
900 INSTANT_DEATH_ON_METAIMPACT_OBJFILTER | TO | M_INSTANT_DEATH_ON_METAIMPACT_OBJFILTER
901 TRANSPORTSLOTCOUNT_NOT_TRANSPORTABLE | TO | M_TRANSPORTSLOTCOUNT_NOT_TRANSPORTABLE
902 ELVEN_ELVENMIRROR_FIRE_MAX_BURN_RATE | TO | M_ELVEN_ELVENMIRROR_FIRE_MAX_BURN_RATE
903 ELVEN_BATTLETOWER_FIRE_MAX_BURN_RATE | TO | M_ELVEN_BATTLETOWER_FIRE_MAX_BURN_RATE
904 ELVEN_MALLORNTREE_FIRE_MAX_BURN_RATE | TO | M_ELVEN_MALLORNTREE_FIRE_MAX_BURN_RATE
905 WILD_GIANTSENTRYEXPANSION_FIRE_DECAY | TO | M_WILD_GIANTSENTRYEXPANSION_FIRE_DECAY
906 WILD_SPIDERHOLESEXPANSION_FIRE_DECAY | TO | M_WILD_SPIDERHOLESEXPANSION_FIRE_DECAY
907 MEN_ARCHERY_RANGE_FIRE_MAX_BURN_RATE | TO | M_MEN_ARCHERY_RANGE_FIRE_MAX_BURN_RATE
908 GONDOR_TOWERSHIELDGUARD_HORDE_THREAT | TO | M_GONDOR_TOWERSHIELDGUARD_HORDE_THREAT
909 RANGED_INFANTRY_CRUSH_REVENGE_DAMAGE | TO | M_RANGED_INFANTRY_CRUSH_REVENGE_DAMAGE
910 NORMAL_MOUNTED_VERYFAST_MEMBER_SPEED | TO | M_NORMAL_MOUNTED_VERYFAST_MEMBER_SPEED
911 NORMAL_WILD_CAVALRY_FAST_HORDE_SPEED | TO | M_NORMAL_WILD_CAVALRY_FAST_HORDE_SPEED
912 NORMAL_ISENGARD_CAVALRY_MEMBER_SPEED | TO | M_NORMAL_ISENGARD_CAVALRY_MEMBER_SPEED
913 NORMAL_ISENGARD_PIKEMEN_MEMBER_SPEED | TO | M_NORMAL_ISENGARD_PIKEMEN_MEMBER_SPEED
914 NORMAL_ISENGARD_INFANTRY_HORDE_SPEED | TO | M_NORMAL_ISENGARD_INFANTRY_HORDE_SPEED
915 CREATE_A_HERO_REINFORCEMENT_LIFETIME | TO | M_CREATE_A_HERO_REINFORCEMENT_LIFETIME
916 CREATE_A_HERO_EARTH_SHAKER_RADIUS_L3 | TO | M_CREATE_A_HERO_EARTH_SHAKER_RADIUS_L3
917 CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L3 | TO | M_CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L3
918 CREATE_A_HERO_EARTH_SHAKER_RADIUS_L2 | TO | M_CREATE_A_HERO_EARTH_SHAKER_RADIUS_L2
919 CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L2 | TO | M_CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L2
920 CREATE_A_HERO_EARTH_SHAKER_RADIUS_L1 | TO | M_CREATE_A_HERO_EARTH_SHAKER_RADIUS_L1
921 CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L1 | TO | M_CREATE_A_HERO_EARTH_SHAKER_DAMAGE_L1
922 CREATE_A_HERO_ASSASSIN_OBJECT_FILTER | TO | M_CREATE_A_HERO_ASSASSIN_OBJECT_FILTER
923 CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L3 | TO | M_CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L3
924 CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L2 | TO | M_CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L2
925 CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L1 | TO | M_CREATE_A_HERO_HOWL_OF_RAGE_RADIUS_L1
926 CREATE_A_HERO_MOUNTED_FIRINGDURATION | TO | M_CREATE_A_HERO_MOUNTED_FIRINGDURATION
927 CREATE_A_HERO_MOUNTED_PREATTACKDELAY | TO | M_CREATE_A_HERO_MOUNTED_PREATTACKDELAY
928 DROGOTH_WING_FLAP_SHOCK_RADIUS_LARGE | TO | M_DROGOTH_WING_FLAP_SHOCK_RADIUS_LARGE
929 DROGOTH_WING_FLAP_SHOCK_AMOUNT_LARGE | TO | M_DROGOTH_WING_FLAP_SHOCK_AMOUNT_LARGE
930 DROGOTH_WING_FLAP_SHOCK_RADIUS_SMALL | TO | M_DROGOTH_WING_FLAP_SHOCK_RADIUS_SMALL
931 DROGOTH_WING_FLAP_SHOCK_AMOUNT_SMALL | TO | M_DROGOTH_WING_FLAP_SHOCK_AMOUNT_SMALL
932 SUMMONED_DRAGON_FLAME_RELOADTIME_MAX | TO | M_SUMMONED_DRAGON_FLAME_RELOADTIME_MAX
933 SUMMONED_DRAGON_FLAME_FIRINGDURATION | TO | M_SUMMONED_DRAGON_FLAME_FIRINGDURATION
934 SUMMONED_DRAGON_FLAME_PREATTACKDELAY | TO | M_SUMMONED_DRAGON_FLAME_PREATTACKDELAY
935 TOM_BOMBADIL_PUNCH_DELAYBETWEENSHOTS | TO | M_TOM_BOMBADIL_PUNCH_DELAYBETWEENSHOTS
936 ANGMAR_WHISPEROFDEATH_FIRINGDURATION | TO | M_ANGMAR_WHISPEROFDEATH_FIRINGDURATION
937 ANGMAR_WHISPEROFDEATH_PREATTACKDELAY | TO | M_ANGMAR_WHISPEROFDEATH_PREATTACKDELAY
938 ANGMAR_MORGRAMIR_RUIN_FIRINGDURATION | TO | M_ANGMAR_MORGRAMIR_RUIN_FIRINGDURATION
939 ANGMAR_MORGRAMIR_RUIN_PREATTACKDELAY | TO | M_ANGMAR_MORGRAMIR_RUIN_PREATTACKDELAY
940 ANGMAR_WITCHKING_DREADWRATH_DURATION | TO | M_ANGMAR_WITCHKING_DREADWRATH_DURATION
941 ANGMAR_WITCHKING_MACE_FIRINGDURATION | TO | M_ANGMAR_WITCHKING_MACE_FIRINGDURATION
942 ANGMAR_WITCHKING_MACE_PREATTACKDELAY | TO | M_ANGMAR_WITCHKING_MACE_PREATTACKDELAY
943 MOUTH_OF_SAURON_DOUBT_ARMOR_MODIFIER | TO | M_MOUTH_OF_SAURON_DOUBT_ARMOR_MODIFIER
944 WITCHKING_MORGULBLADE_FIRINGDURATION | TO | M_WITCHKING_MORGULBLADE_FIRINGDURATION
945 WITCHKING_MORGULBLADE_PREATTACKDELAY | TO | M_WITCHKING_MORGULBLADE_PREATTACKDELAY
946 THRANDUIL_BOW_DAMAGE_DEADEYE_MAGICAL | TO | M_THRANDUIL_BOW_DAMAGE_DEADEYE_MAGICAL
947 EVILMEN_BLACKRIDER_DELAYBETWEENSHOTS | TO | M_EVILMEN_BLACKRIDER_DELAYBETWEENSHOTS
948 WILD_MARAUDER_STAB_DELAYBETWEENSHOTS | TO | M_WILD_MARAUDER_STAB_DELAYBETWEENSHOTS
949 WILD_SPIDERRIDER_FIRE_UPGRADE_DAMAGE | TO | M_WILD_SPIDERRIDER_FIRE_UPGRADE_DAMAGE
950 WILD_BURROWEXPANSION_FIRE_RESISTANCE | TO | M_WILD_BURROWEXPANSION_FIRE_RESISTANCE
951 WILD_SPIDERHOLESEXPANSION_BUILD_TIME | TO | M_WILD_SPIDERHOLESEXPANSION_BUILD_TIME
952 WILD_SPIDERHOLESEXPANSION_BUILD_COST | TO | M_WILD_SPIDERHOLESEXPANSION_BUILD_COST
953 GOBLIN_MINE_LEVEL3_UPGRADE_BUILDTIME | TO | M_GOBLIN_MINE_LEVEL3_UPGRADE_BUILDTIME
954 GOBLIN_MINE_LEVEL2_UPGRADE_BUILDTIME | TO | M_GOBLIN_MINE_LEVEL2_UPGRADE_BUILDTIME
955 GOBLIN_TREASURETROVE_LVL3_EXP_NEEDED | TO | M_GOBLIN_TREASURETROVE_LVL3_EXP_NEEDED
956 GOBLIN_TREASURETROVE_LVL2_EXP_NEEDED | TO | M_GOBLIN_TREASURETROVE_LVL2_EXP_NEEDED
957 GOBLIN_SPIDERPIT_LEVEL3_UPGRADE_COST | TO | M_GOBLIN_SPIDERPIT_LEVEL3_UPGRADE_COST
958 GOBLIN_SPIDERPIT_LEVEL2_UPGRADE_COST | TO | M_GOBLIN_SPIDERPIT_LEVEL2_UPGRADE_COST
959 GOBLIN_FISSURE_HEALTH_REALLY_DAMAGED | TO | M_GOBLIN_FISSURE_HEALTH_REALLY_DAMAGED
960 GOBLIN_CAVE_LEVEL3_UPGRADE_BUILDTIME | TO | M_GOBLIN_CAVE_LEVEL3_UPGRADE_BUILDTIME
961 GOBLIN_CAVE_LEVEL2_UPGRADE_BUILDTIME | TO | M_GOBLIN_CAVE_LEVEL2_UPGRADE_BUILDTIME
962 MORDOR_HARADRIMPALACE_LVL3_EXP_AWARD | TO | M_MORDOR_HARADRIMPALACE_LVL3_EXP_AWARD
963 MORDOR_HARADRIMPALACE_LVL2_EXP_AWARD | TO | M_MORDOR_HARADRIMPALACE_LVL2_EXP_AWARD
